Nombre;Latitud;Longitud
Peñaflor y Talagante, metropolitana, chile;-33.6058638;-70.8785306
Padre Hurtado, metropolitana, chile;-33.5673051;-70.8020467
Isla de Maipo, metropolitana, chile;-33.7537387;-70.9039325
El Monte, metropolitana, chile;-33.6783192;-70.9782465
Vitacura, metropolitana, chile;-33.3802063;-70.5657837
Santiago, metropolitana, chile;-33.4377756;-70.6504502
San Ramón, metropolitana, chile;-33.5428175;-70.643812
San Joaquín, metropolitana, chile;-33.4965843;-70.6290637
San Miguel, metropolitana, chile;-33.4859746;-70.6495465
Renca, metropolitana, chile;-33.4042423;-70.7049708
Recoleta, metropolitana, chile;-33.4020744;-70.6428912
Quinta Normal, metropolitana, chile;-33.4282307;-70.6999357
Quilicura, metropolitana, chile;-33.3600426;-70.7118564
Pudahuel, metropolitana, chile;-33.4193729;-70.8633561
Providencia, metropolitana, chile;-33.4321835;-70.6095284
Peñalolén, metropolitana, chile;-33.4765918;-70.5418308
Pedro Aguirre Cerda, metropolitana, chile;-33.49383;-70.6760755
Ñuñoa, metropolitana, chile;-33.4543164;-70.5936358
Maipú, metropolitana, chile;-33.5094409;-70.756182
Macul, metropolitana, chile;-33.4821635;-70.5991929
Lo Prado, metropolitana, chile;-33.4474083;-70.7233863
Lo Espejo, metropolitana, chile;-33.5250782;-70.694539
Lo Barnechea, metropolitana, chile;-33.2942878;-70.3904841
Las Condes, metropolitana, chile;-33.4084548;-70.5671489
La Reina, metropolitana, chile;-33.442282;-70.5432729
La Pintana, metropolitana, chile;-33.5833594;-70.629827
La Florida, metropolitana, chile;-33.5204181;-70.6006178
La Granja, metropolitana, chile;-33.5431234;-70.6332426
La Cisterna, metropolitana, chile;-33.5346265;-70.6644024
Independencia, metropolitana, chile;-33.422295;-70.6554648
Huechuraba, metropolitana, chile;-33.3744615;-70.6362988
Estación Central, metropolitana, chile;-33.4536375;-70.6898654
El Bosque, metropolitana, chile;-33.5561468;-70.6655679
Conchalí, metropolitana, chile;-33.3960309;-70.6708385
Cerro Navia, metropolitana, chile;-33.4252778;-70.7461548
Cerrillos, metropolitana, chile;-33.5024293;-70.7158683
San Pedro, metropolitana, chile;-33.8943545;-71.4563149
Melipilla, metropolitana, chile;-33.6855134;-71.2145796
María Pinto, metropolitana, chile;-33.5159823;-71.1200324
Curacaví, metropolitana, chile;-33.4022289;-71.1293733
Alhué, metropolitana, chile;-34.0370862;-71.0844986
San Bernardo, metropolitana, chile;-33.5922859;-70.7045838
Paine, metropolitana, chile;-33.8101102;-70.7390236
Calera de Tango, metropolitana, chile;-33.6309419;-70.7593202
Buin, metropolitana, chile;-33.7319741;-70.7419619
San José de Maipo, metropolitana, chile;-33.6403975;-70.3527845
Puente Alto, metropolitana, chile;-33.6095279;-70.5754736
Pirque, metropolitana, chile;-33.6348808;-70.5729961
Til Til, metropolitana, chile;-33.0852808;-70.9293877
Lampa, metropolitana, chile;-33.2895953;-70.8705255
Colina, metropolitana, chile;-33.202472;-70.6749147
